1/21 11:52:18.718  SWING_DAMAGE,0x0300000005D70675,"Billionaire",0x511,0xF140C79CA3000002,"GUGU",0x11148,168,-1,1,0,72,0,nil,nil,nil
1/21 11:52:18.983  SPELL_CAST_SUCCESS,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D70675,"Billionaire",0x511,19801,"Tranquilizing Shot",0x8
1/21 11:52:18.983  SPELL_ENERGIZE,0x0300000005D70675,"Billionaire",0x511,0x0300000005D70675,"Billionaire",0x511,20167,"Seal of Insight",0x2,937,0
1/21 11:52:18.983  SWING_DAMAGE,0xF140C79CA3000002,"GUGU",0x11148,0x0300000005D70675,"Billionaire",0x511,352,-1,1,0,0,0,nil,nil,nil
1/21 11:52:19.251  SPELL_CAST_SUCCESS,0xF140C79CA3000002,"GUGU",0x11148,0x0300000005D70675,"Billionaire",0x511,56626,"Sting",0x8
1/21 11:52:19.251  SPELL_AURA_APPLIED,0xF140C79CA3000002,"GUGU",0x11148,0x0300000005D70675,"Billionaire",0x511,56626,"Sting",0x8,DEBUFF
1/21 11:52:19.325  SPELL_AURA_REMOVED,0x0300000005D70675,"Billionaire",0x511,0x0300000005D70675,"Billionaire",0x511,79102,"Blessing of Might",0x2,BUFF
1/21 11:52:19.591  SPELL_DISPEL,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D70675,"Billionaire",0x511,19801,"Tranquilizing Shot",0x8,79102,"Blessing of Might",2,BUFF
1/21 11:52:19.862  SPELL_AURA_APPLIED,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,54131,"Bloodthirsty",0x1,BUFF
1/21 11:52:19.862  SPELL_AURA_REFRESH,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,54131,"Bloodthirsty",0x1,BUFF
1/21 11:52:19.862  SPELL_CAST_SUCCESS,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D70675,"Billionaire",0x511,19801,"Tranquilizing Shot",0x8
1/21 11:52:20.370  SPELL_AURA_REMOVED,0x0300000005D70675,"Billionaire",0x10511,0x0300000005D70675,"Billionaire",0x10511,53563,"Beacon of Light",0x2,BUFF
1/21 11:52:20.370  SPELL_DISPEL,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D70675,"Billionaire",0x10511,19801,"Tranquilizing Shot",0x8,53563,"Beacon of Light",2,BUFF
1/21 11:52:20.621  SWING_DAMAGE,0xF140C79CA3000002,"GUGU",0x1148,0x0300000005D70675,"Billionaire",0x10511,704,-1,1,0,0,0,1,nil,nil
1/21 11:52:20.897  SPELL_PERIODIC_ENERGIZE,0xF140C79CA3000002,"GUGU",0x1148,0xF140C79CA3000002,"GUGU",0x1148,54131,"Bloodthirsty",0x1,9,4
1/21 11:52:20.897  SPELL_PERIODIC_HEAL,0xF140C79CA3000002,"GUGU",0x1148,0xF140C79CA3000002,"GUGU",0x1148,54131,"Bloodthirsty",0x1,881,522,0,nil
1/21 11:52:20.897  SPELL_CAST_SUCCESS,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D70675,"Billionaire",0x10511,19801,"Tranquilizing Shot",0x8
1/21 11:52:20.897  SPELL_CAST_SUCCESS,0xF140C79CA3000002,"GUGU",0x1148,0x0300000005D70675,"Billionaire",0x10511,49966,"Smack",0x1
